,URL,Title,Date
0,https://www.bbc.co.uk/russian/features-47253360,Россия никуда не денется зачем американцы учат русский язык,21 февраля 2019
1,https://www.bbc.co.uk/russian/news-47260541,"Британский министр обороны Россия - угроза, но мы хотим диалога и мира",15 февраля 2019
2,https://www.bbc.co.uk/russian/features-47353363,СМИ России что изменило убийство Бориса Немцова,25 февраля 2019
3,https://www.bbc.co.uk/russian/features-47135158,Какими ракетами вооружатся Россия и США после развала ДРСМД,7 февраля 2019
4,https://www.bbc.co.uk/russian/features-47124214,"Видео
Тысяча сайтов в день Россия бьет рекорды по блокировке интернета",5 февраля 2019
5,https://www.bbc.co.uk/russian/features-47097481,Золото против доллара. Как Россия стала лидером новой золотой лихорадки,2 февраля 2019
6,https://www.bbc.co.uk/russian/news-47125157,Россия попросила Грузию выдать хакера Сумбаева. Его дело вела убитая следователь Шишкина,7 февраля 2019
7,https://www.bbc.co.uk/russian/features-47066807,Пресса Британии Россия и Китай - главные угрозы Западу,31 января 2019
8,https://www.bbc.co.uk/russian/media-47049595,"Видео
Что потеряет Россия от санкций США против Венесуэлы",29 января 2019
9,https://www.bbc.co.uk/russian/news-47038510,Коррупция крепчает Россия потеряла несколько строчек в рейтинге Transparency,29 января 2019
10,https://www.bbc.co.uk/russian/news-47101489,Россия приостанавливает участие в договоре о ракетах средней и меньшей дальности,2 февраля 2019
11,https://www.bbc.co.uk/russian/features-46979331,"Россия и Турция в Сирии задачи разные, но действуют сообща",23 января 2019
12,https://www.bbc.co.uk/russian/features-46969520,"Пресса Британии Россия активно ищет союзников в Африке, раздражая Запад",23 января 2019
13,https://www.bbc.co.uk/russian/features-46949082,"Как Россия улаживает допинговый скандал. Для тех, кто запутался",22 января 2019
14,https://www.bbc.co.uk/russian/features-46825730,Россия и Япония договариваются о Курилах. В чем заключается спор,22 января 2019
15,https://www.bbc.co.uk/russian/news-46920399,Кто первый готова ли Россия к выходу из Совета Европы,19 января 2019
16,https://www.bbc.co.uk/russian/features-47327465,СМИ России четвертый кризис власти,22 февраля 2019
17,https://www.bbc.co.uk/russian/news-47317481,Что Путин говорил об интернете и его судьбе в России,21 февраля 2019
18,https://www.bbc.co.uk/russian/features-47329354,Шаманы сожгли пять верблюдов для укрепления России. Что это было,22 февраля 2019
19,https://www.bbc.co.uk/russian/media-47324191,"Видео
Единственный паровоз в России зачем он нужен и кто им пользуется",21 февраля 2019
20,https://www.bbc.co.uk/russian/features-46991629,Россия часто заявляет о перехвате военных самолетов. А как это делается,24 января 2019
21,https://www.bbc.co.uk/russian/news-46820820,Россия возглавит борьбу с кровавыми и поддельными алмазами,10 января 2019
22,https://www.bbc.co.uk/russian/features-47316391,"В шаге от Оскара 12 фильмов от СССР и России, обделенных самой престижной кинопремией",22 февраля 2019
23,https://www.bbc.co.uk/russian/news-46907695,Трамп объявил о серьезном расширении программы ПРО. Среди угроз - Россия и Китай,17 января 2019
24,https://www.bbc.co.uk/russian/features-47314507,СМИ России Путин пятый раз заступился за бизнес,21 февраля 2019
25,https://www.bbc.co.uk/russian/features-47307555,Путин и новое оружие России. Что оно собой представляет,20 февраля 2019
26,https://www.bbc.co.uk/russian/news-46709961,Россия запретила импорт алкоголя и сладостей с Украины,29 декабря 2018
27,https://www.bbc.co.uk/russian/media-47283500,"Видео
Считать-то они умеют Путин вновь пригрозил США военным ответом",20 февраля 2019
28,https://www.bbc.co.uk/russian/features-47301272,СМИ России Чечня делит границу с Дагестаном,20 февраля 2019
29,https://www.bbc.co.uk/russian/news-47295381,В России смягчат фильтр на выборах. Стоит ли радоваться оппозиции,19 февраля 2019
30,https://www.bbc.co.uk/russian/features-47321081,Выборы в Молдове кто победит и кого поддерживает Путин,24 февраля 2019
31,https://www.bbc.co.uk/russian/features-46339543,Пресса Британии оккультная Россия Путина,26 ноября 2018
32,https://www.bbc.co.uk/russian/features-46061979,Британия и Россия переплетенные монархии,17 ноября 2018
33,https://www.bbc.co.uk/russian/news-46518766,Россия отправила два стратегических бомбардировщика-ракетоносца в Венесуэлу. Зачем,11 декабря 2018
34,https://www.bbc.co.uk/russian/features-47344969,Кризис в Венесуэле столкновения и гибель людей в приграничных городах,23 февраля 2019
35,https://www.bbc.co.uk/russian/news-47275112,СМИ России российская угроза и давление на Москву,18 февраля 2019
36,https://www.bbc.co.uk/russian/features-46324257,На меня смотрит вся Россия фильм Би-би-си о борьбе за новую музыку,27 декабря 2018
37,https://www.bbc.co.uk/russian/news-46680884,Россия расширила санкции против Украины. В списке более 200 новых пунктов,25 декабря 2018
38,https://www.bbc.co.uk/russian/news-47270745,Неизвестные вывесили флаг России на соборе в Солсбери,17 февраля 2019
39,https://www.bbc.co.uk/russian/media-46434058,"Видео
Посейдон, Сармат, Пересвет - с кем Россия собирается воевать новым оружием",5 декабря 2018
40,https://www.bbc.co.uk/russian/news-46452766,"ДРСМД Россия пригрозила ответными мерами странам, которые разместят американские ракеты",5 декабря 2018
41,https://www.bbc.co.uk/russian/news-47288175,СМИ России цель послания Путина - остановить падение рейтинга власти,19 февраля 2019
