,URL,Title,Date
0,https://tass.ru/obschestvo/6152766,"Марш памяти Бориса Немцова начался в центре Москвы

",24 фев 2019
1,https://tass.ru/obschestvo/6152627,"Турпоток в заповедники Оренбургской области за год увеличился в 10 раз

",24 фев 2019
2,https://tass.ru/obschestvo/6152545,"Первый фотоальбом лошадей Пржевальского из Оренбургского заповедника выйдет в 2019 году

",24 фев 2019
3,https://tass.ru/armiya-i-opk/6151531,"Северный флот представил историческую и современную военную технику в Мурманске

",23 фев 2019
4,https://tass.ru/v-strane/6151365,"Ограничение движения по зимнику из НАО в другие регионы снято

",23 фев 2019
5,https://tass.ru/obschestvo/6151315,"Около 10 тыс. человек почтили память жертв депортации вайнахского народа в Ингушетии

",23 фев 2019
6,https://tass.ru/armiya-i-opk/6151318,"Поезд с трофейным оружием сирийских боевиков отправился по городам России

",23 фев 2019
7,https://tass.ru/obschestvo/6151272,"Севастополь отмечает 23 февраля шествием и праздничным салютом

",23 фев 2019
8,https://tass.ru/v-strane/6151038,"В Чите провели реконструкцию контрнаступления под Москвой с участием танка Т-34

",23 фев 2019
9,https://tass.ru/proisshestviya/6150927,"Восемь лесных пожаров ликвидированы в Приморье

",22 фев 2019
10,https://tass.ru/obschestvo/6150921,"На полумарафон по льду Амурского залива собрались во Владивостоке больше тысячи участников

",22 фев 2019
11,https://tass.ru/obschestvo/6150908,"Торжественное открытие гонки на собачьих упряжках Берингия состоялось на Камчатке

",22 фев 2019
12,https://tass.ru/proisshestviya/6150607,"Пожар произошел в Казанской церкви с чудотворной иконой в Рязанской области

",22 фев 2019
13,https://tass.ru/proisshestviya/6150240,"Против замначальника антикоррупционного главка МВД по РСО-Алания возбуждено дело о взятке

",22 фев 2019
14,https://tass.ru/kultura/6150258,"Первое место конкурса молодых композиторов в Сочи разделили два участника

",22 фев 2019
15,https://tass.ru/obschestvo/6150019,"Экологи идентифицировали трех барсов, снятых фотоловушками на плато Укок на Алтае

",22 фев 2019
16,https://tass.ru/obschestvo/6149866,"Беглов все структуры власти Петербурга должны быть представлены в соцсетях

",22 фев 2019
17,https://tass.ru/obschestvo/6149853,"Шесть объектов отреставрируют в Ярославской области к 200-летию со дня рождения Некрасова

",22 фев 2019
18,https://tass.ru/obschestvo/6149800,"Экотехнопарк в Саратовской области увеличит переработку мусора в 1,5 раза

",22 фев 2019
19,https://tass.ru/v-strane/6149664,"Движение по соединяющей Ненецкий АО с большой землей трассе частично восстановили

",22 фев 2019
20,https://tass.ru/ekonomika/6149546,"Нижегородские предприятия в рамках Эффективной губернии втрое увеличили объем заказов

",22 фев 2019
21,https://tass.ru/obschestvo/6149209,"СПЧ будет следить за развитием ситуации вокруг технопарка Шиес в Архангельской области

",22 фев 2019
22,https://tass.ru/ekonomika/6149194,"Татарстан попросил Минсельхоз поддержать региональные проекты АПК льготными кредитами

",22 фев 2019
23,https://tass.ru/nedvizhimost/6149014,"Власти Карелии опровергли информацию о неисполнении программы расселения жилья

",22 фев 2019
24,https://tass.ru/obschestvo/6148854,"Имена всех финалистов конкурса Лидеры России станут известны в начале марта

",22 фев 2019
25,https://tass.ru/obschestvo/6148625,"Депутаты Госдумы рассмотрят проект музея фортификационных сооружений в Севастополе

",22 фев 2019
26,https://tass.ru/ekonomika/6148613,"Власти Петербурга откроют в Средней Азии четыре центра для набора трудовых мигрантов

",22 фев 2019
27,https://tass.ru/obschestvo/6148618,"Единая Россия разработала интерактивную народную карту проблем Севастополя

",22 фев 2019
28,https://tass.ru/ekonomika/6148365,"Патрушев заявил, что экспорт продукции АПК из Приволжья к 2024 году должен вырасти вдвое

",22 фев 2019
29,https://tass.ru/politika/6148347,"Депутат гордумы Дзержинска от Единой России лишен партийного поста за хамское поведение

",22 фев 2019
30,https://tass.ru/ekonomika/6148267,"Затраты на ремонт дорог в Пермском крае выросли на четверть по сравнению с 2018 годом

",22 фев 2019
31,https://tass.ru/ekonomika/6148032,"Долг петербургского Метростроя перед ФНС составил почти 1 млрд рублей

",22 фев 2019
32,https://tass.ru/v-strane/6148001,"Сильный ветер и умеренный мороз ожидаются в Центральной России в ближайшие двое суток

",22 фев 2019
33,https://tass.ru/kultura/6147932,"В Уфе простились с народной артисткой СССР и РСФСР Гюлли Мубаряковой

",22 фев 2019
34,https://tass.ru/v-strane/6130155,https__tass.ru_v-strane_6130155,22 фев 2019
35,https://tass.ru/armiya-i-opk/6147671,"В Симферополе открылась фотовыставка о погибших героях России и выдающихся крымчанах

",22 фев 2019
36,https://tass.ru/obschestvo/6147602,"В Калининграде многодетные семьи и ветераны получат льготу в 50% на оплату вывоза мусора

",22 фев 2019
37,https://tass.ru/armiya-i-opk/6147534,"Начальник Генштаба ВС России Герасимов вручил орден Жукова танковому училищу в Казани

",22 фев 2019
38,https://tass.ru/v-strane/6147464,"Скоростные поезда Ласточка начали курсировать между Псковом, Новгородом и Петрозаводском

",22 фев 2019
39,https://tass.ru/ekonomika/6147192,"Приморье получит из Фонда ЖКХ 6,7 млрд рублей на переселение из аварийного жилья

",22 фев 2019
40,https://tass.ru/politika/6147134,"Беглов выразил солидарность с ЦИК в вопросе недопустимости досрочного голосования

",22 фев 2019
41,https://tass.ru/obschestvo/6147167,"Якутские мастера изготовят из серебра и мамонтовой кости фигурку Джона Сноу

",22 фев 2019
42,https://tass.ru/obschestvo/6147124,"Власти Севастополя разработали законопроект об амнистии долгостроев украинских времен

",22 фев 2019
43,https://tass.ru/v-strane/6147130,"Кочевники Пуровского района первыми отметят Дни оленевода на Ямале

",22 фев 2019
44,https://tass.ru/politika/6147103,"Памфилова призвала власти Петербурга провести красивую и чистую избирательную кампанию

",https://tass.ru/politika/6147103
45,https://tass.ru/obschestvo/6147107,"Одиннадцать регионов РФ получат 295 млн рублей на создание системы долговременного ухода

",https://tass.ru/obschestvo/6147107
46,https://tass.ru/obschestvo/6147052,"Власти Волгоградской области усилят меры пожарной безопасности после обращения главы МЧС

",https://tass.ru/obschestvo/6147052
47,https://tass.ru/v-strane/6146898,"Сразу пять метеорекордов поставлено за неделю в Амурской области

",https://tass.ru/v-strane/6146898
48,https://tass.ru/v-strane/6146903,"МЧС предупредило о сильном дожде, снеге и ветре в Симферополе 22-23 февраля

",https://tass.ru/v-strane/6146903
49,https://tass.ru/v-strane/6146833,"Экспедиция по Арктике на снегоходах добралась до мыса Челюскин

",https://tass.ru/v-strane/6146833
50,https://tass.ru/armiya-i-opk/6146792,"Салюты в честь 23 февраля пройдут в более чем девяти городах России

",https://tass.ru/armiya-i-opk/6146792
51,https://tass.ru/v-strane/6146788,"В Магадане представили первый Тунгусский словарь, изготовленный 165 лет назад

",https://tass.ru/v-strane/6146788
52,https://tass.ru/nacionalnye-proekty/6146760,"Власти Якутии ожидают рост продолжительности жизни в регионе на 7 лет благодаря нацпроекту

",https://tass.ru/nacionalnye-proekty/6146760
53,https://tass.ru/obschestvo/6146738,"Магаданские энергетики сообщили, что не успеют устранить аварию на ЛЭП к 23 февраля

",https://tass.ru/obschestvo/6146738
54,https://tass.ru/obschestvo/6146659,"В четырех районах Хабаровского края вводят особый режим из-за пожаров

",https://tass.ru/obschestvo/6146659
55,https://tass.ru/obschestvo/6146658,"Счетная палата выявила занижение нормативов финансирования здравоохранения Приморья

",https://tass.ru/obschestvo/6146658
56,https://tass.ru/ekonomika/6146657,"Более 540 млн рублей направят на ремонт дорог в Приамурье в 2019 году

",https://tass.ru/ekonomika/6146657
57,https://tass.ru/obschestvo/6146649,"В Якутске возобновила работу ассоциация организаций по вывозу мусора

",https://tass.ru/obschestvo/6146649
58,https://tass.ru/obschestvo/6146621,"В Бурейском районе Приамурья снят режим ЧС

",https://tass.ru/obschestvo/6146621
59,https://tass.ru/proisshestviya/6146597,"Бойцовый пес напал на беременную женщину на Камчатке

",https://tass.ru/proisshestviya/6146597
60,https://tass.ru/proisshestviya/6146580,"В Сихотэ-Алинском заповеднике в Приморье произошел пожар площадью 90 га

",https://tass.ru/proisshestviya/6146580
61,https://tass.ru/obschestvo/6146567,"Дым от палов травы над Хабаровском рассеялся

",https://tass.ru/obschestvo/6146567
62,https://tass.ru/ekonomika/6145753,"Изношенность теплосетей Курской области достигла 69%

",https://tass.ru/ekonomika/6145753
63,https://tass.ru/obschestvo/6145399,"Губернатор Оренбургской области раскритиковал работу главы Орска

",https://tass.ru/obschestvo/6145399
64,https://tass.ru/obschestvo/6145339,"Депутаты Ростовской области предложили установить в домах датчики утечки газа

",https://tass.ru/obschestvo/6145339
65,https://tass.ru/ekonomika/6145207,"Правительство распорядилось установить пограничный пункт пропуска в аэропорту Саранска

",https://tass.ru/ekonomika/6145207
